処女,Virgin
童貞,Male Virgin
性別,Gender

恋慕,Love
淫乱,Lewd
服従,Submission
公衆便所,Slut
浮気癖,Cheating Habit
崩壊,Broken
人妻,Married

度胸,Courage
態度,Attitude
応答,Response
プライド,Pride
ツンデレ,Tsundere

自制心,Self Control
無関心,Apathetic
感情乏しい,Emotionless
性的興味,Sexual Interest
陽気／陰気,Cheerful/Gloomy
一線越えない,Reserved
目立ちたがり,Show-off

貞操,Virtue
自己愛,Openness
抵抗,Reluctant
羞恥心,Shyness
弱味,Weakness

管理人,Meat Toilet Manager
肉便器,Meat Toilet

痛覚,Sense Of Pain
濡れやすさ,Wet Ease

習得速度,Learning Speed
器用な指,Nimble-fingered
舌使い,Skilled Tongue
針さばき,Needle Skill
猫舌,Cat Tongue
調合知識,Mixing Knowledge
薬毒耐性,Drug Resistant
おもらし癖,Peeing Habit

自慰しやすい,Masturbating
汚臭耐性,Smell Resistance
献身的,Devoted

快感応答,Pleasure Response

中毒しやすい,Easily Addicted
即落ち,Submits Easily
自慰狂い,Loves To Masturbate
淫壺,Lewd Vagina
尻穴狂い,Loves Anal
淫乳,Lewd Breasts
キス魔,Kissing Devil

倒錯的,Perverted
性別嗜好,Gender Preference
サド,Sadist
マゾ,Masochist
嫉妬,Jealousy
妄信,Gullible
小悪魔,Little Devil

狐,Kitsune
妖狐,Youko
魅力,Charming
魅惑,Captivating
謎の魅力,Mysterious Charm
性的魅力,Sex Appeal

体型,Figure 
Ｃ感度,C Sensitivity
Ｖ感度,V Sensitivity
Ａ感度,A Sensitivity
Ｂ感度,B Sensitivity
バストサイズ,Breast Size
ペニスサイズ,Penis Size
ヴァギナサイズ,Vagina Tightness
アナルサイズ,Anus Tightness
Ｍ感度,M Sensitivity
Ｎ感度,N Sensitivity
Ｐ感度,P Sensitivity

回復速度,Recovery Speed

吸血鬼,Vampire
日光浴,Early Bird
月光浴,Night Person
治療,Treatment
鼓舞,Inspiring
不思議な根,Mysterious Origin

狂気,Insane
動物耳,Animal Ears
禁断の知識,Forbidden Knowledge
人気,Popular
具現,Embodiment

親愛,Deep Affection
母乳体質,Lactating
幼児／幼児退行,Infant Regression
幼稚,Childlike
絶倫,Unmatched
妊娠,Pregnant
育児中,Childcare
母性,Maternity
危険日,Dangerous Day
精力無尽蔵,Inexhaustible Vigor
訪問者の血統,Visitor's Pedigree

浮気公認,Is Cheating
浮気な唇,Cheating Lips
浮気な蜜壷,Cheating Vagina
浮気な尻穴,Cheating Anus
訪問者への弱み,Weakness To Visitor
傷心,Heartbreak

女装,Crossdressing
